date_id,day_of_week,holiday_en,holiday_th,partition_year
01-01-2020,Wed,New Year's Day,?????????????????????????????,2020
08-02-2020,Sat,Makha Bucha Day,??????????????????,2020
10-02-2020,Mon,Makha Bucha Holiday,???????????????????????????????????????????,2020
06-04-2020,Mon,Chakri Day,????????????????,2020
13-04-2020,Mon,Songkran Festival (Cancelled),????????????????????? (??????????),2020
14-04-2020,Tue,Songkran Festival (Cancelled),????????????????????? (??????????),2020
15-04-2020,Wed,Songkran Festival (Cancelled),????????????????????? (??????????),2020
16-04-2020,Thu,Songkran Festival (Cancelled),????????????????????? (??????????),2020
01-05-2020,Fri,Labour Day *,??????????????? *,2020
04-05-2020,Mon,Coronation of King Vajiralongkorn,???????????????????????????????????????????????????????????????????????????????????????????,2020
06-05-2020,Wed,Visakha Bucha Day,????????????????????????,2020
11-05-2020,Mon,Royal Ploughing Ceremony *,?????????????????????? *,2020
03-06-2020,Wed,Queen Suthida's Birthday,?????????????????????????????????????????????? ???????????????????,2020
05-06-2020,Sun,Asahna Bucha Day,???????????????????????????,2020
06-06-2020,Mon,Asahna Bucha Day Holiday,????????????????????????????????????????????????????,2020
07-06-2020,Tue,Khao Phansa Holiday *,?????????????????????????????????????????????????? *,2020
27-07-2020,Mon,Songkran Holiday,?????????????????????????????????,2020
28-07-2020,Tue,King Vajiralongkorn's Birthday,?????????????????????????????????????????????????????????????????????????,2020
12-08-2020,Wed,Her Majesty the Queen Mother's Birthday,????????????????????????????,2020
04-09-2020,Fri,Songkran Holiday,?????????????????????????????????,2020
07-09-2020,Mon,Songkran Holiday,?????????????????????????????????,2020
13-10-2020,Tue,Passing of His Majesty the Late King,??????????????????????????????????????? ??????????????????????????????????????????????????????????????????????????????,2020
23-10-2020,Fri,Chulalongkorn Memorial Day,????????????????????????????,2020
19-11-2020,Thu,Special Public Holiday,???????????????????????????????????????????,2020
20-11-2020,Fri,Special Public Holiday,???????????????????????????????????????????,2020
05-12-2020,Sat,His Majesty the Late King's Birthday,??????????????????????????????????????????????????? ??????????????????? 9,2020
10-12-2020,Thu,Constitution Day,???????????????????????????,2020
11-12-2020,Fri,His Majesty the Late King's Birthday Holiday,???????????????????????????????????????????????????????????????????????????? ??????????????????? 9,2020
31-12-2020,Thu,New Year's Eve,???????????????????????????????,2020
01-01-2021,Fri,New Year's Day,?????????????????????????????,2021
26-02-2021,Fri,Makha Bucha Day,??????????????????,2021
06-04-2021,Tue,Chakri Day,????????????????,2021
12-04-2021,Mon,Songkran Festival,?????????????????????,2021
13-04-2021,Tue,Songkran Festival,?????????????????????,2021
14-04-2021,Wed,Songkran Festival,?????????????????????,2021
15-04-2021,Thu,Songkran Festival,?????????????????????,2021
01-05-2021,Sat,Labour Day *,??????????????? *,2021
03-05-2021,Mon,Labour Day Holiday *,???????????????????????????????????????? *,2021
04-05-2021,Tue,Coronation of King Vajiralongkorn,???????????????????????????????????????????????????????????????????????????????????????????,2021
10-05-2021,Mon,Royal Ploughing Ceremony *,?????????????????????? *,2021
26-05-2021,Wed,Visakha Bucha Day,????????????????????????,2021
03-06-2021,Thu,Queen Suthida's Birthday,?????????????????????????????????????????????? ???????????????????,2021
24-07-2021,Sat,Asahna Bucha Day,???????????????????????????,2021
25-07-2021,Sun,Khao Phansa Day *,????????????????????????? *,2021
26-07-2021,Mon,Asahna Bucha Day Holiday,????????????????????????????????????????????????????,2021
28-07-2021,Wed,King Vajiralongkorn's Birthday,?????????????????????????????????????????????????????????????????????????,2021
12-08-2021,Thu,Her Majesty the Queen Mother's Birthday,????????????????????????????,2021
24-09-2021,Fri,Prince Mahidol Day,??????????????????????????????????????????,2021
13-10-2021,Wed,Passing of His Majesty the Late King,??????????????????????????????????????? ??????????????????????????????????????????????????????????????????????????????,2021
22-10-2021,Fri,Chulalongkorn Memorial Day Holiday,?????????????????????????????????????????????????????,2021
23-10-2021,Sat,Chulalongkorn Memorial Day,????????????????????????????,2021
05-12-2021,Sun,His Majesty the Late King's Birthday,??????????????????????????????????????????????????? ??????????????????? 9,2021
06-12-2021,Mon,His Majesty the Late King's Birthday Holiday,???????????????????????????????????????????????????????????????????????????? ??????????????????? 9,2021
10-12-2021,Fri,Constitution Day,???????????????????????????,2021
31-12-2021,Fri,New Year's Eve,???????????????????????????????,2021
01-01-2022,Sat,New Year's Day,?????????????????????????????,2022
03-01-2022,Mon,New Year Holiday,????????????????????????????????????????????????,2022
16-02-2022,Wed,Makha Bucha Day,??????????????????,2022
06-04-2022,Wed,Chakri Day,????????????????,2022
13-04-2022,Wed,Songkran Festival,?????????????????????,2022
14-04-2022,Thu,Songkran Festival,?????????????????????,2022
15-04-2022,Fri,Songkran Festival,?????????????????????,2022
01-05-2022,Sun,Labour Day *,??????????????? *,2022
02-05-2022,Mon,Labour Day Holiday *,???????????????????????????????????????? *,2022
04-05-2022,Wed,Coronation of King Vajiralongkorn,???????????????????????????????????????????????????????????????????????????????????????????,2022
05-05-2022,Fri,Royal Ploughing Ceremony *,?????????????????????? *,2022
15-05-2022,Sun,Visakha Bucha Day,????????????????????????,2022
16-05-2022,Mon,Visakha Bucha Holiday,?????????????????????????????????????????????????,2022
03-06-2022,Fri,Queen Suthida's Birthday,?????????????????????????????????????????????? ???????????????????,2022
13-07-2022,Wed,Asahna Bucha Day,???????????????????????????,2022
14-07-2022,Thu,Khao Phansa Day *,????????????????????????? *,2022
28-07-2022,Thu,King Vajiralongkorn's Birthday,?????????????????????????????????????????????????????????????????????????,2022
29-07-2022,Fri,King Vajiralongkorn's Birthday Holiday,??????????????????????????????????????????????????????????????????????????????????????????????????,2022
12-08-2022,Fri,Her Majesty the Queen Mother's Birthday,????????????????????????????,2022
13-10-2022,Thu,Passing of His Majesty the Late King,??????????????????????????????????????? ??????????????????????????????????????????????????????????????????????????????,2022
14-10-2022,Fri,Passing of His Majesty the Late King Holiday,???????????????????????????????????????????????????????????????? ??????????????????????????????????????????????????????????????????????????????,2022
23-10-2022,Sun,Chulalongkorn Memorial Day,????????????????????????????,2022
24-10-2022,Mon,Chulalongkorn Memorial Day Holiday,?????????????????????????????????????????????????????,2022
05-12-2022,Mon,His Majesty the Late King's Birthday,??????????????????????????????????????????????????? ??????????????????? 9,2022
10-12-2022,Sat,Constitution Day,???????????????????????????,2022
12-12-2022,Mon,Constitution Day Holiday,????????????????????????????????????????????????????,2022
31-12-2022,Sat,New Year's Eve,???????????????????????????????,2022
